024f9b41,1
0348cbfb,6
035a3379,3
03bae415,2
03f1889c,6
051d7aec,1
0562f2c8,3
07346dbd,2
088d8fba,26
0938270c,1
095e906a,5
09a03cba,1
09a172a2,1
09ae2cec,1
0b319876,1
0b4a0a3b,2
0b88ab13,1
0bad259a,1
1007e7e6,1
117305b8,1
13047705,10
13a19c1d,2
13ae9962,6
14d247ce,4
180cb82a,1
18bf278a,4
1984abeb,2
1add4201,5
1be9db29,3
1beca1ea,1
1ccc884e,1
1cf1f0b4,1
1d390905,11
1db71a32,1
1e70f912,3
1e855d6a,1
1f69efcb,1
2062e27f,2
20b8c94b,1
2104a9e6,7
213a72cd,1
2533034e,1
259f1e46,1
292bc413,1
29823972,5
2a206661,11
2b9bc082,1
2bf14445,1
2c3da687,1
2c5d4e02,8
2d79814e,9
2df64a78,2
2e99f459,1
2f4db66d,2
2fcb5ae3,7
302e51ad,1
30429aa0,1
33422d3f,2
3415287f,2
34731936,1
36dc5276,1
375abddc,1
376f6a4d,36
37e8e1b0,1
383b456d,13
383e0763,1
38db0041,8
398ce8ac,8
39904b32,5
39ce3314,9
39ea6b38,1
3a0f3a43,1
3c0f97c8,1
3ce2d674,1
3cfb0697,1
3d22ca20,1
3d6ec193,1
3deb6985,1
3ecf1c0e,4
3ff2f976,2
3ff37b13,1
40695b15,1
40a4e182,5
422ae818,2
43813e51,2
4525bc5a,9
466e8b6c,11
46887b11,1
47d7d37f,118
499de6fc,10
4a549335,2
4b27cddf,2
4b6be2ac,2
4bcf4dda,1
4d26ce94,1
4d308853,1
4e74e26a,2
4edbdcd5,9
5022042f,4
50e5bc3d,1
5110deba,2
51842ff4,2
519effbd,2
529aa1a9,1
52a4df69,1
536bbc30,1
542dd41b,2
544b21dc,1
55408d21,2
55b5aa7c,2
57b0927b,1
57b36c16,41
580c103e,11
580eda3b,6
5959e754,1
5b71ca79,1
5cc9eb96,18
5cedda2d,2
5e350f95,1
5f33843d,2
607a66dd,1
64a67150,1
64dcff1c,1
651d221e,2
656a837e,1
671cc4ab,1
68f7523c,1
6ca7cbd8,1
6d114649,2
6d668d38,11
6f876027,4
7029ad69,1
707661d0,20
7103a4c0,2
71220097,80
71222ca1,3
7131a122,2
71d0c6d8,14
7267ada8,12
7366da55,1
7409f2cb,1
7526c714,1
771bc3f9,126
773f5ac5,1
7821101c,3
795a4d65,2
7d9664ab,1
7d9a04d1,4
7e5267e6,1
7e64632e,2
7f3e4dc2,5
7f532a93,2
7ff4e9cf,14
82cf3edd,1
82d9dfa8,2
834eb9f7,1
83be86c3,2
8456b37d,1
86a87042,5
86eddd31,18
871962ea,3
8a02b0d7,1
8ac622d6,1
8b87290f,2
8d97cfbb,1
8e098ca7,3
8e5a75a5,1
8eb36679,1
90913aa9,9
918aff3e,1
924b491e,8
925384b2,3
940706d0,1
942f3998,1
94a454a0,37
94de5ac5,1
97c5e310,4
97e27660,21
98c7bc16,1
9b6a3712,2
9d579463,15
9e32217c,7
9e929231,13
9ebf6d93,1
9f17efa8,1
9faf5aeb,5
9ff94413,8
D090ba22,5
D0c4438d,5
D0ee2b24,1
D11912fe,4
D153b121,1
D18fefdf,1
D1e12b32,2
D20592cc,3
D22720cd,1
D230eb96,2
D24f81da,3
D2620b94,1
D27b5d36,2
D2abe320,2
D349d3e4,2
D39ab490,1
D3dd2e18,5
D3dfe4a5,1
D48eea73,2
D4915b96,1
D49a048e,5
D4ed72e8,1
D533bce5,1
D54d7678,57
D560cb36,1
D583f110,6
D588a085,8
D58f8e3f,2
D5aaa79a,1
D6b04ad6,2
D6ee3b73,1
D73cd6ec,3
D74ef807,8
D7746b8d,2
D7ed93e1,1
D8043e64,2
D82b727a,4
D85ab30b,1
D8df1e15,1
D986f819,1
D9ade0cf,1
D9cb3ad3,9
D9d83486,1
Da3e503b,14
Da7743b3,1
Da8ca01e,6
Da954aeb,1
Da96daac,1
Daed79ac,7
Db368b6c,2
Dbbb374b,1
Dbdab326,1
Dbfaf7b9,1
Dc421fe9,1
Dca95682,1
Dd195599,4
Dd364064,1
Dd8813d4,6
Ddea8be1,2
De05a2a7,1
De0c64d9,7
De33bf27,1
Df297b87,10
Df36ece3,7
Df3b5d3a,1
Df66241d,3
Dfbd8920,1
Dfbe9bed,8
Dfc617ad,1
a04d3694,1
a0e4e1dc,1
a1202277,1
a404d10d,30
a5beecc3,2
a5da4dd4,1
a649df89,5
a657f223,1
a71d94fc,7
a7dcd95a,2
a86b7b96,6
a8d76b5c,4
aa686c22,1
ab290d7e,3
abcbdbac,4
acfcad18,1
ad05dcef,2
ad172223,4
ad575037,1
ae3f5dde,1
ae8d9cc4,8
af2ce246,20
af5f9b95,2
afb43df4,6
afe09ac1,2
b1125df6,7
b1952d97,2
b29844d7,1
b3948cc6,4
b4034ffd,1
b582ee4a,71
b6014608,3
b81786c2,1
b8bc85da,22
ba762333,2
baab8d2a,1
bab4359b,1
bac761ba,1
bb9dcdb2,1
bc9ba8a1,6
bd751741,1
be748090,3
befbadba,2
bf3b8efe,1
bf3c51aa,3
bfa9fcde,2
c1fe2e3b,7
c20327e5,1
c2e4dde2,8
c3d4b298,10
c510560f,4
c87b7a32,3
c929b4f6,21
c98f4012,1
c9fb332e,55
ca3d841b,4
cc1d774e,1
cc62c1a6,1
ccf840d9,1
cd12c6dc,16
ce986485,1
ceb7f866,1
d0d4c681,6
d1f4b2d4,1
d3293cf4,1
d4ec4676,3
d522f159,1
d68d3f9f,52
d76e4a87,8
d83e5893,1
da9bca4f,2
dab3f51f,8
daf8a3da,1
db4c66e5,4
db6e3235,3
dc7e7551,5
dd32c4e6,6
dd446f6b,2
de0c453b,1
de67c3e6,1
dfbf3fbc,1
e09b350e,3
e120d384,1
e16441f5,16
e32ed82f,3
e51bb3c5,7
e5afaf49,1
e5db18ae,2
e61282c3,2
e63fe976,1
e6e87e2d,3
e723d03d,1
e7e7616c,1
e995fb84,4
ea7ff6a2,15
ea9ce120,1
eae10663,2
eae5d776,1
eb0f1e64,13
ecc9e816,15
ed23b281,1
f03f86b8,1
f1633421,2
f206e38c,2
f268a5eb,3
f49fa596,3
f7435332,2
f83ae410,1
f848fafa,1
f951b084,8
fa04bb2e,1
fb9e64d3,9
fc51a6f9,17
fcc5d86e,6
fded8cc3,2
fe0851aa,10
ffe03bba,2
